,Product,Condition,Price,Stock,Link
0,Zoologist,JP EX-NM Normal,"$69,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39657/s/269048/category/2528/
1,Zhalfirin Crusader,JP EX-NM Normal,"$405,60",,https://mercadiacity.com/index.php/catalog/product/view/id/40223/s/269220/category/2528/
2,Yawgmoth's Agenda,JP EX-NM Normal,"$141,60",,https://mercadiacity.com/index.php/catalog/product/view/id/288572/s/329357/category/2528/
3,Xanthic Statue,JP EX-NM Normal,"$501,60",,https://mercadiacity.com/index.php/catalog/product/view/id/288613/s/330814/category/2528/
4,Wormfang Manta,JP EX-NM Normal,"$45,60",,https://mercadiacity.com/index.php/catalog/product/view/id/38987/s/268928/category/2528/
5,Wormfang Behemoth,JP EX-NM Normal,"$45,60",,https://mercadiacity.com/index.php/catalog/product/view/id/38986/s/268927/category/2528/
6,Worldly Tutor,JP EX-NM Normal,"$6.621,60",,https://mercadiacity.com/index.php/catalog/product/view/id/301644/s/349098/category/2528/
7,Workhorse,JP EX-NM Normal,"$525,60",,https://mercadiacity.com/index.php/legacy-sets/329167.html.html
8,Words of Worship,JP EX-NM Normal,"$381,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39717/s/269075/category/2528/
9,Words of Waste,JP EX-NM Normal,"$2.493,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39715/s/269074/category/2528/
10,Words of War,JP SP Normal,"$69,60",,https://mercadiacity.com/index.php/catalog/product/view/id/40485/s/307385/category/2528/
11,Words of War,JP EX-NM Normal,"$69,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39714/s/164904/category/2528/
12,Young Pyromancer,JP EX-NM Normal,"$189,60",,https://mercadiacity.com/index.php/masters-sets/329116.html.html
13,Selesnya Sanctuary,JP SP Foil,"$741,60",,https://mercadiacity.com/index.php/catalog/product/view/id/40420/s/12141414/category/2569/
14,Selesnya Sanctuary,JP EX-NM Foil,"$909,60",,https://mercadiacity.com/index.php/masters-sets/12135703.html.html
15,Rewind,JP EX-NM Foil,"$189,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39395/s/12135702/category/2569/
16,Remand,JP EX-NM Normal,"$789,60",,https://mercadiacity.com/index.php/masters-sets/329782.html.html
17,Peregrine Drake,JP EX-NM Normal,"$669,60",,https://mercadiacity.com/index.php/catalog/product/view/id/314834/s/352551/category/2569/
18,Palladium Myr,JP EX-NM Foil,"$333,60",,https://mercadiacity.com/index.php/catalog/product/view/id/315288/s/12148778/category/2569/
19,Mox Tantalite,JP EX-NM Normal,"$1.725,60",,https://mercadiacity.com/index.php/masters-sets/338912.html.html
20,Mirrodin Besieged,JP EX-NM Normal,"$885,60",,https://mercadiacity.com/index.php/catalog/product/view/id/301632/s/338911/category/2569/
21,Might of Old Krosa,JP EX-NM Foil,"$453,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39394/s/12135695/category/2569/
22,Midnight Banshee,JP EX-NM Normal,"$309,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39389/s/297151/category/2569/
23,Malicious Affliction,JP EX-NM Normal,"$717,60",,https://mercadiacity.com/index.php/masters-sets/301156.html.html
24,Zombie Apocalypse,JP EX-NM Normal,"$237,60",,https://mercadiacity.com/index.php/modern-sets/220817.html.html
25,Wurmweaver Coil,JP EX-NM Normal,"$45,60",,https://mercadiacity.com/index.php/modern-sets/268858.html.html
26,Worm Harvest,JP EX-NM Normal,"$69,60",,https://mercadiacity.com/index.php/modern-sets/268828.html.html
27,Worldslayer,JP EX-NM Normal,"$309,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39574/s/269023/category/2580/
28,Worldpurge,JP EX-NM Normal,"$93,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39984/s/217816/category/2580/
29,Wolfbitten Captive,JP EX-NM Normal,"$93,60",,https://mercadiacity.com/index.php/modern-sets/219105.html.html
30,Woebringer Demon,JP EX-NM Normal,"$45,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39821/s/269112/category/2580/
31,Witherscale Wurm,JP EX-NM Normal,"$45,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39983/s/218695/category/2580/
32,Witch-Maw Nephilim,JP SP Normal,"$141,60",,https://mercadiacity.com/index.php/modern-sets/307354.html.html
33,Windbrisk Raptor,JP EX-NM Normal,"$309,60",,https://mercadiacity.com/index.php/catalog/product/view/id/39982/s/269156/category/2580/
34,Wild Defiance,JP EX-NM Normal,"$141,60",,https://mercadiacity.com/index.php/catalog/product/view/id/37817/s/292925/category/2580/
35,White Sun's Zenith,JP EX-NM Normal,"$93,60",,https://mercadiacity.com/index.php/catalog/product/view/id/45767/s/220851/category/2580/
36,Zhur-Taa Ancient,JP EX-NM Normal,"$69,60",,https://mercadiacity.com/index.php/pioneer-sets/220802.html.html
37,Wretched Camel,JP EX-NM Normal,"$45,60",,https://mercadiacity.com/index.php/pioneer-sets/340257.html.html
38,Without Weakness,JP EX-NM Normal,"$45,60",,https://mercadiacity.com/index.php/pioneer-sets/340256.html.html
