,Product,Price,Link
0,Pokemon Legends,200,https://articulo.mercadolibre.com.ar/MLA-1163567845-pokemon-legends-_JM#position=1&search_layout=grid&type=item&tracking_id=3d9bec74-5091-4014-8cb0-2868632e64a0
1,Carta Hypno Pokemon Holo,10.000,https://articulo.mercadolibre.com.ar/MLA-1163827141-carta-hypno-pokemon-holo-_JM#position=2&search_layout=grid&type=item&tracking_id=3d9bec74-5091-4014-8cb0-2868632e64a0
2,Pokemon Booster Pop Series 5 Pack ,95.000,https://articulo.mercadolibre.com.ar/MLA-1163442425-pokemon-booster-pop-series-5-pack-_JM#position=3&search_layout=grid&type=item&tracking_id=3d9bec74-5091-4014-8cb0-2868632e64a0
3,Cartas Pokemon Intercambiables,500.000,https://articulo.mercadolibre.com.ar/MLA-1163531647-cartas-pokemon-intercambiables-_JM#position=4&search_layout=grid&type=item&tracking_id=3d9bec74-5091-4014-8cb0-2868632e64a0
