Product,Price,Link
Folios Protectores Eevee Shining Fates Pokemon Etb,$17.900,https://articulo.mercadolibre.com.ar/MLA-1558838490-folios-protectores-eevee-shining-fates-pokemon-etb-_JM?searchVariation=179178160216
Cartas Pokemon Tgc - Mew Ex (mew 151). ,$16.000,https://articulo.mercadolibre.com.ar/MLA-1395114935-cartas-pokemon-tgc-mew-ex-mew-151-_JM
Pokemon Tcg - Mazo - Ex Battle Deck - Kangaskhan Ex - Nuevo!,$30.000,https://articulo.mercadolibre.com.ar/MLA-1558999730-pokemon-tcg-mazo-ex-battle-deck-kangaskhan-ex-nuevo-_JM
Pokemon Tcg - Mazo - Ex Battle Deck - Greninja Ex - Nuevo !!,$30.000,https://articulo.mercadolibre.com.ar/MLA-1559025518-pokemon-tcg-mazo-ex-battle-deck-greninja-ex-nuevo--_JM
Charmeleon (mew 169) 151 - Nm ,$32.000,https://articulo.mercadolibre.com.ar/MLA-1559801124-charmeleon-mew-169-151-nm-_JM
Blastoise Ex (mew 009) 151 - 009,$10.000,https://articulo.mercadolibre.com.ar/MLA-1559878466-blastoise-ex-mew-009-151-009-_JM
Carta Pokémon ,$16.000,https://articulo.mercadolibre.com.ar/MLA-1559878682-carta-pokemon-_JM
Charizard Ex (mew 006) 151 - 006,$18.000,https://articulo.mercadolibre.com.ar/MLA-1559891482-charizard-ex-mew-006-151-006-_JM
Nidoking (mew 174) 151 - Nm ,$25.000,https://articulo.mercadolibre.com.ar/MLA-1559917214-nidoking-mew-174-151-nm-_JM
Zapdos Ex (mew 145) 151 -  Sleeved (nm),$12.000,https://articulo.mercadolibre.com.ar/MLA-1559929530-zapdos-ex-mew-145-151-sleeved-nm-_JM
Cartas Pokemon Houndoom Ex 134/197 Obsidian Flames Obf ,$20.000,https://articulo.mercadolibre.com.ar/MLA-1394987953-cartas-pokemon-houndoom-ex-134197-obsidian-flames-obf-_JM?searchVariation=179185561160
Cartas Pokemon Eiscue Ex 042/197 Obsidian Flames Obf ,$20.000,https://articulo.mercadolibre.com.ar/MLA-1395054375-cartas-pokemon-eiscue-ex-042197-obsidian-flames-obf-_JM?searchVariation=179185633774
Cartas Pokemon Pidgeotto  208/197 Obsidian Flames Obf ,$50.000,https://articulo.mercadolibre.com.ar/MLA-1395105615-cartas-pokemon-pidgeotto-208197-obsidian-flames-obf-_JM?searchVariation=179185620786
Carta Pokemon Serena Full Art Graduada 7.5 Bgs Psa Cgc,$15.000,https://articulo.mercadolibre.com.ar/MLA-1559004386-carta-pokemon-serena-full-art-graduada-75-bgs-psa-cgc-_JM
Cartas De Pokemon ,$35.000,https://articulo.mercadolibre.com.ar/MLA-1559843940-cartas-de-pokemon-_JM?searchVariation=179186706048
Carta Pokemon Arceus,$42.000,https://articulo.mercadolibre.com.ar/MLA-1559931738-carta-pokemon-arceus-_JM
Miraidon Ex Special Art Rare-244/198,$20.000,https://articulo.mercadolibre.com.ar/MLA-1559942828-miraidon-ex-special-art-rare-244198-_JM
