title,year,kmss
Toyota Corolla 1.8 Hev Xei Ecvt,2024,1.986
Toyota Corolla 2.0 Xei Cvt 170cv,2023,1.700
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,2019,80.000
Fiat Toro 2.0 Ranch 4x4 At,2021,48.500
Jeep Renegade 1.8 Longitude At6,2020,59.000
Chevrolet Cruze 1.4 Premier At Sedan,2021,48.600
Chevrolet Tracker 1.2 Turbo At argentina,2023,15.000
Vendo Fiat Strada 1.3 Freedom Recibo Permuta Financiacion Pr,2024,5.000
Ford Ranger 3.2 Cd Xls Tdci 200cv Manual 4x4,2018,150.000
Toyota Corolla 1.8 Hev Seg Ecvt,2021,43.800
Mercedes-Benz Sprinter 2.1 415 Chasis 3665 150 Cv,2012,273.000
Toyota Corolla 2.0 Xli Cvt 170cv,2023,24.100
Jeep Renegade 1.8 Longitude At6,2020,23.400
Toyota Hilux Srv 4x4 At,2013,262.000
Chevrolet Cruze 5 1.4 Premier  At 5P,2024,2.800
Ford Ranger 3.2 Xls,2020,43.000
Chevrolet Equinox 1.5t Lt 2wd,2020,48.000
Kia Sorento 2.2 Crdi Ex At 4x2,2018,130.000
Mercedes-Benz Clase GLA 1.6 Gla200 Urban 156cv,2017,97.000
Jeep Compass 1.3 T270 Sport,2021,39.000
Toyota Hilux Pick-Up 2.4 Cd Sr 150cv 4x2,2018,82.000
Toyota Hilux Pick-up 2.4 Cs Dx 150cv 4x4,2020,119.000
Toyota Corolla 1.8 Hev Xei Ecvt,2024,1.500
Toyota Hilux Pick-up 2.4 Cd Dx 150cv 4x2,2021,75.000
Ford Ranger Limited 3.2 4×4 Automatica,2016,260.008
Toyota Hilux Pick-Up 2.8 Cd Srv 177cv 4x4 At,2018,200.000
Renault Alaskan 2.3 Bit 16v Emotion Mt 4x4,2021,96.512
Toyota Hilux 4x4 2.8 Td Impecable!!! 95mil Km,2018,95.000
Nissan Kicks 1.6 Exclusive Bt 120cv,2021,70.000
Hyundai H1 2.5 Premium 1 170cv At,2016,183.000
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At,2023,15.000
Renault Koleos 2.5 4wd Cvt,2018,82.000
Volkswagen Vento 1.4 Highline 150cv At,2021,129.000
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,2022,23.000
Hyundai Tucson 2.0 I Premium,2019,149.000
BMW Serie 5 3.0 525d Executive 218cv,2014,178.000
Toyota Corolla Cross 2.0 Xei Cvt,2022,40.133
Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,2022,30.000
Toyota Corolla Cross 2.0 Seg Cvt,2022,51.000
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2023,500
Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,2019,72.000
DS DS7 Crossback 2.0 Hdi 180 At So Chic,2019,55.000
Mercedes-Benz CLK 2.3 Clk230 Sport Kompressor Cabriolet,1999,110.000
Volkswagen Amarok 3.0 V6 Extreme,2023,10.000
Audi A3 2.0 Turbo S-tronic,2017,130.000
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2024,9.000
Fiat FASTBACK 1.3 T270 At6,2024,5.000
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2024,9.000
Fiat FASTBACK 1.3 T270 At6,2024,5.000
Vendo Ranger Raptor,2019,99.000
Toyota Corolla Cross 1.8 Xei Ecvt,2023,20.000
Toyota Hilux Pick-Up 4.0 V6 Gr-s Ii 4x4 6at,2020,85.000
Toyota Hilux Hilux Sr 4x4 At,2023,24.000
Ford Ranger Xls ,2022,1.800
Fiat FASTBACK 1.3 T270 At6,2024,1.000
Jeep Renegade 1.3 Serie-S At6,2023,21.000
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x4,2021,69.000
Toyota Hilux Pick-Up 2.8 Cd Srx 177cv 4x4,2016,70.000
Toyota Corolla 1.8 Hev Xei Ecvt,2023,20.000
Toyota Hilux Pick-Up 2.8 Cd Srx 177cv 4x4 At,2017,93.000
Nissan Sentra 2.0 Advance Cvt,2024,500
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x2,2021,26.000
Toyota Corolla 1.8 Hev Seg Ecvt,2024,1.000
BMW Serie 2 1.5 218I Gran Coupe Advantage,2021,55.000
Jeep Wrangler 3.8 Sport Atx Mountain,2011,60.000
Volkswagen Amarok 3.0 V6 Cd Highline,2023,10.000
Dodge Ram 1500 2016 Laramie 4x4 Motor V8 5.7,2016,84.000
Volkswagen Amarok 3.0 V6 Extreme 258Cv,2020,79.000
Volkswagen Amarok 3.0 V6 Cd Highline,2022,30.000
Chevrolet Equinox 1.5t Premier 4wd,2024,22.000
Peugeot 2008 1.0T Gt,2024,500
Volkswagen Amarok 3.0 V6 Extreme,2022,52.000
Volkswagen Vento 2.0 GLI tsi 231cv,2024,6.000
Ford Transit 2.2 Chasis 470e,2023,1.234
Toyota Hilux Pick-Up 2.8 Cd Srx 204Cv 4X4 At,2021,1.560
Toyota SW4 2.8 Srx 204Cv 4X4 7As At,2022,90.000
Nissan Frontier 2.3bt Pro4x 4x4 At L22,2023,23.000
Audi TT 2.0 T Fsi Stronic 211cv Coupé,2016,18.000
Volkswagen Amarok 3.0 V6 Extreme,2023,12.000
Jeep Compass Serie S,2024,1.001
Toyota Corolla Cross 2.0 Grs Cvt 170cv,6402,200.000
Ford Ranger 3.0 V6 Cd 4X4 Xls At 250Cv,2024,900
Toyota Hilux Gr,2020,96.000
Nissan Frontier 2.3bt Pro4x 4x4 At L22,2023,16.000
Nissan Frontier 2.3bt Pro4x 4x4 At L22,2023,10.800
Nissan Frontier 2.3bt Platinum 4x4 At L22,2023,5.000
Volkswagen Amarok 3.0 V6 Cd Highline,2021,60.000
Mercedes-Benz Sprinter 516 Cdi Minibus 4325 19+1 Con Cámara,2020,298.000
Toyota Hilux SW4 2.8 Srx 177cv 4x4 7as At,2023,19.900
Toyota Corolla Cross 1.8 Seg Ecvt,2024,111.111
Toyota Hilux SW4 2.8 Srx 177cv 4x4 7as At,2023,27.500
Toyota Hilux SW4 2.8 Srx 177cv 4x4 7as At,2021,79.624
Ford Ranger 2.0 Cd 4X4 Limited At 210Cv,2024,1.900
Chevrolet Trailblazer 2.8 Ctdi Premier 200Cv 4X4 At,2024,1.000
Toyota SW4 2.8 Srx 204Cv 4X4 7As At,2023,17.000
Mercedes-benz Clase Glc 300 Coupe Amg-line,2019,110.000
Toyota SW4 2.8 Srx 204Cv 4X4 7As At,2024,6.500
Dodge Ram 5.9 2500 Laramie Quadcab 4x4,2010,120.000
Jeep Grand Cherokee 3.6 Limited 293Cv At8 4X4,2024,8.500
BMW Serie 2 3.0 240i M Package,2023,1.950
